门锁编号,身份证号(加密后),密码编号,操作类型,操作结果,返回信息,时间戳,调用返回结果
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,6,1001,HH0000,成功,1547810162910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":6,""business_id"":""1685f9b11fb006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,1,1002,HH0000,成功,1547792223078,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f9b1255006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,1,1001,HH0000,成功,1547813762910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f9b3917006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,2,1002,HH0000,成功,1547792233134,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f9b3996006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,2,1001,HH0000,成功,1547817362910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f9b6019006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,3,1002,HH0000,成功,1547792243070,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":3,""business_id"":""1685f9b607b006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,3,1001,HH0000,成功,1547820962910,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":3,""business_id"":""1685f9b8743006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,4,1002,HH0000,成功,1547792253122,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":4,""business_id"":""1685f9b87a2006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,4,1001,HH0000,成功,1547824562910,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":4,""business_id"":""1685f9bae45006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,5,1002,HH0000,成功,1547792263127,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":5,""business_id"":""1685f9baec9006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
